152.67.125.161:443#AU  # 延迟:427ms
134.199.157.12:443#AU  # 延迟:418ms
152.67.99.162:443#AU  # 延迟:420ms
167.17.178.19:443#BE  # 延迟:156ms
194.87.230.150:443#BG  # 延迟:238ms
194.87.230.160:443#BG  # 延迟:231ms
194.87.230.158:443#BG  # 延迟:247ms
134.122.36.103:443#CA  # 延迟:48ms
134.122.39.100:443#CA  # 延迟:46ms
134.122.39.39:443#CA  # 延迟:47ms
152.67.64.55:443#CH  # 延迟:205ms
167.17.181.35:443#CH  # 延迟:206ms
167.17.183.134:443#CH  # 延迟:206ms
194.87.137.188:443#CZ  # 延迟:199ms
194.87.137.88:443#CZ  # 延迟:230ms
104.248.140.206:443#DE  # 延迟:191ms
104.248.130.109:443#DE  # 延迟:192ms
104.248.17.101:443#DE  # 延迟:194ms
109.206.241.125:443#EE  # 延迟:195ms
109.206.241.235:443#EE  # 延迟:197ms
188.130.154.155:443#EE  # 延迟:254ms
91.149.243.34:443#ES  # 延迟:159ms
91.149.242.110:443#ES  # 延迟:165ms
135.181.21.43:443#FI  # 延迟:232ms
212.192.212.135:443#FI  # 延迟:239ms
167.17.177.63:443#FI  # 延迟:243ms
135.125.182.40:443#FR  # 延迟:246ms
141.94.223.220:443#FR  # 延迟:181ms
141.94.222.214:443#FR  # 延迟:179ms
129.151.74.25:443#GB  # 延迟:191ms
129.151.84.69:443#GB  # 延迟:192ms
129.151.85.111:443#GB  # 延迟:194ms
217.60.248.66:443#HK  # 延迟:432ms
217.60.38.13:443#HK  # 延迟:439ms
46.8.226.20:443#HK  # 延迟:439ms
45.144.172.173:443#IL  # 延迟:292ms
152.67.190.105:443#IN  # 延迟:472ms
68.183.81.81:443#IN  # 延迟:489ms
132.145.115.62:443#JP  # 延迟:344ms
132.145.116.185:443#JP  # 延迟:351ms
138.2.39.24:443#JP  # 延迟:346ms
129.154.215.121:443#KR  # 延迟:418ms
129.154.194.191:443#KR  # 延迟:411ms
131.186.17.132:443#KR  # 延迟:422ms
5.39.250.218:443#LV  # 延迟:240ms
193.124.22.212:443#LV  # 延迟:212ms
194.87.89.41:443#LV  # 延迟:213ms
47.250.139.249:443#MY  # 延迟:493ms
47.250.132.147:443#MY  # 延迟:494ms
47.250.139.59:443#MY  # 延迟:509ms
103.146.119.191:443#NL  # 延迟:187ms
103.146.119.71:443#NL  # 延迟:185ms
103.146.119.108:443#NL  # 延迟:199ms
193.124.41.29:443#PL  # 延迟:211ms
193.124.41.236:443#PL  # 延迟:245ms
193.124.41.203:443#PL  # 延迟:226ms
194.87.85.145:443#RS  # 延迟:239ms
195.133.5.237:443#RU  # 延迟:290ms
194.87.235.34:443#RU  # 延迟:334ms
45.156.26.163:443#RU  # 延迟:294ms
109.206.236.216:443#SE  # 延迟:243ms
109.206.236.23:443#SE  # 延迟:248ms
104.252.127.204:443#SE  # 延迟:590ms
104.248.145.216:443#SG  # 延迟:529ms
128.199.134.152:443#SG  # 延迟:489ms
128.199.75.32:443#SG  # 延迟:513ms
47.81.9.160:443#TH  # 延迟:548ms
194.87.39.191:443#TR  # 延迟:258ms
193.124.46.244:443#TR  # 延迟:293ms
194.87.91.192:443#TR  # 延迟:298ms
104.234.36.246:443#US  # 延迟:148ms
107.170.37.57:443#US  # 延迟:48ms
128.199.0.28:443#US  # 延迟:136ms
